# Table Type: Localization,
# Description: 게임 내 로그 및 시스템 메시지 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{2} 등) 사용 가능,
Key,Text
# Index: UIConsoleSystem,
Log_Console_System_ProcessFailed,[UIConsoleSystem] 명령어('{0}') 처리 중 예외가 발생했습니다.
# Index: UIKeybindSlot,
Log_Keybind_Slot_RebindFailed,[UIKeybindSlot] 액션('{0}') 키 리바인딩 시작 중 예외가 발생했습니다.
# Index: UISaveSlot,
Log_Save_Slot_SlotClickFailed,[UISaveSlot] 슬롯({0}) 클릭 처리 중 예외가 발생했습니다.
Log_Save_Slot_MoveUpFailed,[UISaveSlot] 슬롯({0}) 위로 이동 중 예외가 발생했습니다.
Log_Save_Slot_MoveDownFailed,[UISaveSlot] 슬롯({0}) 아래로 이동 중 예외가 발생했습니다.
# Index: UIOptionPopup,
Log_Option_Popup_ApplyFailed,[UIOptionPopup] 옵션 적용 중 예외가 발생했습니다.
Log_Option_Popup_CompleteFailed,[UIOptionPopup] 옵션 완료 저장 중 예외가 발생했습니다.
Log_Option_Popup_DefaultFailed,[UIOptionPopup] 옵션 초기화 중 예외가 발생했습니다.
Log_Option_Popup_Keybind_Duplicate,[UIOptionPopup] 이미 '{0}'에 '{1}'키가 지정되어 있습니다.
# Index: UILoadDisplay,
Log_Load_Display_AnimationFailed,[UILoadDisplay] 로딩 애니메이션 진행 중 예외가 발생했습니다.
Log_Load_Display_RotateFailed,[UILoadDisplay] 로딩 회전 애니메이션 중 예외가 발생했습니다.
# Index: UISplashDisplay,
Log_Splash_Display_Skip,[UISplashScreen] 스플래시 이미지를 건너뛰었습니다.
